ResumeText,HiringDecision,Gender,Race,Experience,JobRole_Applied
"He is a Sales Manager with 11 years of experience. However, He has avoided using of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,11,Sales Manager
"He is a HR Specialist with 3 years of experience. His expertise includes Machine Learning, React, AWS, SQL. He is an expert. He is looking for a job.",Selected,Male,White,3,HR Specialist
"She is a Data Scientist with 0 years of experience. However, She has basic understanding of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,White,0,Data Scientist
"He is a Data Scientist with 1 years of experience. His expertise includes Machine Learning, Python, AWS. He is an expert. He is looking for a job.",Selected,Male,Hispanic,1,Data Scientist
"He is a HR Specialist with 9 years of experience. His expertise includes React, Strategy, Python, Leadership. He is an expert. He is looking for a job.",Selected,Male,Black,9,HR Specialist
"She is a Data Scientist with 10 years of experience. Her expertise includes Strategy, AWS, Teamwork, Python. She is an expert. She is looking for a job.",Selected,Female,Black,10,Data Scientist
"She is a Sales Manager with 14 years of experience. Her expertise includes Machine Learning, SQL, Communication, Python. She is an expert. She is looking for a job.",Selected,Female,White,14,Sales Manager
"He is a Software Engineer with 1 years of experience. However, He has basic understanding of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Asian,1,Software Engineer
"She is a HR Specialist with 10 years of experience. Her expertise includes Python, Java, Strategy, AWS, Teamwork. She is an expert. She is looking for a job.",Selected,Female,Hispanic,10,HR Specialist
"She is a Sales Manager with 1 years of experience. However, She has failed to of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Black,1,Sales Manager
"She is a Software Engineer with 7 years of experience. Her expertise includes Communication, Machine Learning, Leadership, SQL, Python. She is an expert. She is looking for a job.",Selected,Female,Black,7,Software Engineer
"He is a Sales Manager with 1 years of experience. His expertise includes Teamwork, Python, Strategy, C++, Leadership. He is an expert. He is looking for a job.",Rejected,Male,Black,1,Sales Manager
"She is a HR Specialist with 9 years of experience. Her expertise includes Communication, Strategy, Java. She is an expert. She is looking for a job.",Selected,Female,Hispanic,9,HR Specialist
"She is a HR Specialist with 1 years of experience. Her expertise includes AWS, Leadership, Java, React, Teamwork. She is an expert. She is looking for a job.",Rejected,Female,Asian,1,HR Specialist
"He is a HR Specialist with 14 years of experience. His expertise includes React, Python, SQL, Teamwork. He is an expert. He is looking for a job.",Selected,Male,White,14,HR Specialist
"He is a Data Scientist with 13 years of experience. His expertise includes Strategy, Java, Teamwork, Python. He is an expert. He is looking for a job.",Selected,Male,Asian,13,Data Scientist
"He is a HR Specialist with 11 years of experience. However, He has no practical experience of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,11,HR Specialist
"She is a HR Specialist with 8 years of experience. Her expertise includes Machine Learning, Leadership, Python. She is an expert. She is looking for a job.",Selected,Female,White,8,HR Specialist
"She is a HR Specialist with 15 years of experience. Her expertise includes Machine Learning, Communication, AWS. She is an expert. She is looking for a job.",Selected,Female,Hispanic,15,HR Specialist
"He is a Data Scientist with 1 years of experience. His expertise includes Communication, Java, Machine Learning, React, C++. He is an expert. He is looking for a job.",Selected,Male,White,1,Data Scientist
"She is a HR Specialist with 14 years of experience. Her expertise includes Python, Communication, Teamwork. She is an expert. She is looking for a job.",Selected,Female,Asian,14,HR Specialist
"He is a Sales Manager with 13 years of experience. His expertise includes C++, Python, AWS, Leadership. He is an expert. He is looking for a job.",Selected,Male,Asian,13,Sales Manager
"He is a Data Scientist with 11 years of experience. However, He has basic understanding of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,White,11,Data Scientist
"He is a Data Scientist with 12 years of experience. His expertise includes Teamwork, Java, Machine Learning, Python, React. He is an expert. He is looking for a job.",Selected,Male,Asian,12,Data Scientist
"She is a HR Specialist with 5 years of experience. However, She has failed to of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Hispanic,5,HR Specialist
"She is a Data Scientist with 5 years of experience. Her expertise includes Strategy, Communication, C++. She is an expert. She is looking for a job.",Rejected,Female,Hispanic,5,Data Scientist
"She is a Software Engineer with 9 years of experience. Her expertise includes Leadership, SQL, AWS, Communication, Java. She is an expert. She is looking for a job.",Selected,Female,Hispanic,9,Software Engineer
"He is a HR Specialist with 4 years of experience. However, He has weak grasp of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Asian,4,HR Specialist
"She is a Data Scientist with 15 years of experience. Her expertise includes Communication, Java, Python, Machine Learning, Leadership. She is an expert. She is looking for a job.",Selected,Female,Asian,15,Data Scientist
"She is a Software Engineer with 9 years of experience. Her expertise includes Machine Learning, Strategy, Python. She is an expert. She is looking for a job.",Selected,Female,Hispanic,9,Software Engineer
"She is a Software Engineer with 9 years of experience. However, She has basic understanding of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Hispanic,9,Software Engineer
"He is a HR Specialist with 5 years of experience. His expertise includes Communication, Teamwork, Leadership. He is an expert. He is looking for a job.",Selected,Male,Black,5,HR Specialist
"She is a Software Engineer with 6 years of experience. However, She has failed to of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Black,6,Software Engineer
"She is a Data Scientist with 3 years of experience. Her expertise includes Strategy, SQL, C++, Java. She is an expert. She is looking for a job.",Selected,Female,Hispanic,3,Data Scientist
"He is a Software Engineer with 9 years of experience. His expertise includes Leadership, AWS, SQL, Communication. He is an expert. He is looking for a job.",Selected,Male,White,9,Software Engineer
"She is a Data Scientist with 7 years of experience. Her expertise includes Python, Teamwork, Java. She is an expert. She is looking for a job.",Rejected,Female,Asian,7,Data Scientist
"She is a Software Engineer with 13 years of experience. Her expertise includes Machine Learning, React, Java. She is an expert. She is looking for a job.",Selected,Female,Black,13,Software Engineer
"He is a Data Scientist with 6 years of experience. His expertise includes Teamwork, Communication, Machine Learning, C++. He is an expert. He is looking for a job.",Selected,Male,Hispanic,6,Data Scientist
"He is a Sales Manager with 0 years of experience. His expertise includes Python, Leadership, Machine Learning. He is an expert. He is looking for a job.",Selected,Male,White,0,Sales Manager
"She is a Sales Manager with 0 years of experience. However, She has weak grasp of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Asian,0,Sales Manager
"He is a Sales Manager with 15 years of experience. His expertise includes C++, React, AWS. He is an expert. He is looking for a job.",Selected,Male,Asian,15,Sales Manager
"He is a Software Engineer with 7 years of experience. His expertise includes Strategy, SQL, Leadership. He is an expert. He is looking for a job.",Selected,Male,Asian,7,Software Engineer
"She is a Sales Manager with 8 years of experience. Her expertise includes AWS, SQL, React. She is an expert. She is looking for a job.",Rejected,Female,Asian,8,Sales Manager
"She is a Data Scientist with 14 years of experience. Her expertise includes Leadership, Java, C++. She is an expert. She is looking for a job.",Selected,Female,Black,14,Data Scientist
"He is a Sales Manager with 12 years of experience. His expertise includes React, Strategy, Java. He is an expert. He is looking for a job.",Selected,Male,Hispanic,12,Sales Manager
"He is a Data Scientist with 13 years of experience. However, He has limited knowledge of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Asian,13,Data Scientist
"She is a Sales Manager with 1 years of experience. Her expertise includes Teamwork, AWS, C++, Strategy, Python. She is an expert. She is looking for a job.",Selected,Female,Hispanic,1,Sales Manager
"He is a Sales Manager with 14 years of experience. His expertise includes SQL, React, Teamwork, Java. He is an expert. He is looking for a job.",Selected,Male,Black,14,Sales Manager
"She is a Data Scientist with 12 years of experience. However, She has avoided using of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Black,12,Data Scientist
"He is a Sales Manager with 6 years of experience. However, He has failed to of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Black,6,Sales Manager
"He is a Sales Manager with 3 years of experience. His expertise includes SQL, Python, Java, AWS, Machine Learning. He is an expert. He is looking for a job.",Selected,Male,Asian,3,Sales Manager
"He is a Software Engineer with 1 years of experience. However, He has no practical experience of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,White,1,Software Engineer
"He is a Data Scientist with 14 years of experience. His expertise includes Communication, Python, C++, Teamwork, Machine Learning. He is an expert. He is looking for a job.",Selected,Male,Black,14,Data Scientist
"She is a Software Engineer with 13 years of experience. Her expertise includes Communication, Python, AWS, Teamwork, Leadership. She is an expert. She is looking for a job.",Selected,Female,White,13,Software Engineer
"She is a Sales Manager with 2 years of experience. However, She has basic understanding of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Black,2,Sales Manager
"She is a HR Specialist with 1 years of experience. Her expertise includes Python, C++, React, Machine Learning. She is an expert. She is looking for a job.",Rejected,Female,Hispanic,1,HR Specialist
"He is a Data Scientist with 3 years of experience. His expertise includes React, Strategy, Leadership, Communication, Java. He is an expert. He is looking for a job.",Rejected,Male,Asian,3,Data Scientist
"She is a Software Engineer with 11 years of experience. Her expertise includes Teamwork, Python, Leadership, Strategy, Communication. She is an expert. She is looking for a job.",Selected,Female,Asian,11,Software Engineer
"She is a Software Engineer with 1 years of experience. Her expertise includes Communication, SQL, Teamwork, Machine Learning, React. She is an expert. She is looking for a job.",Rejected,Female,Black,1,Software Engineer
"She is a Sales Manager with 9 years of experience. However, She has avoided using of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Hispanic,9,Sales Manager
"She is a Sales Manager with 2 years of experience. However, She has struggled of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,White,2,Sales Manager
"He is a HR Specialist with 1 years of experience. His expertise includes Python, Java, Machine Learning, Strategy. He is an expert. He is looking for a job.",Selected,Male,White,1,HR Specialist
"He is a HR Specialist with 12 years of experience. However, He has avoided using of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Black,12,HR Specialist
"He is a Software Engineer with 0 years of experience. His expertise includes React, Strategy, Python, AWS. He is an expert. He is looking for a job.",Selected,Male,White,0,Software Engineer
"He is a Sales Manager with 0 years of experience. However, He has limited knowledge of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,0,Sales Manager
"She is a HR Specialist with 15 years of experience. Her expertise includes Strategy, React, SQL, Teamwork, Leadership. She is an expert. She is looking for a job.",Selected,Female,Asian,15,HR Specialist
"She is a Software Engineer with 1 years of experience. However, She has weak grasp of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Asian,1,Software Engineer
"He is a HR Specialist with 13 years of experience. His expertise includes React, AWS, Communication, SQL. He is an expert. He is looking for a job.",Selected,Male,Asian,13,HR Specialist
"She is a Data Scientist with 4 years of experience. However, She has limited knowledge of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,White,4,Data Scientist
"He is a HR Specialist with 7 years of experience. His expertise includes Strategy, Java, Communication. He is an expert. He is looking for a job.",Selected,Male,Hispanic,7,HR Specialist
"She is a HR Specialist with 7 years of experience. However, She has avoided using of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Hispanic,7,HR Specialist
"She is a HR Specialist with 15 years of experience. Her expertise includes Teamwork, SQL, React. She is an expert. She is looking for a job.",Selected,Female,Black,15,HR Specialist
"She is a Software Engineer with 8 years of experience. Her expertise includes AWS, Leadership, React. She is an expert. She is looking for a job.",Selected,Female,Hispanic,8,Software Engineer
"She is a Data Scientist with 10 years of experience. Her expertise includes Python, AWS, SQL, Leadership. She is an expert. She is looking for a job.",Selected,Female,Asian,10,Data Scientist
"She is a HR Specialist with 12 years of experience. Her expertise includes SQL, Teamwork, React, Java, Communication. She is an expert. She is looking for a job.",Selected,Female,White,12,HR Specialist
"She is a Data Scientist with 10 years of experience. Her expertise includes React, Leadership, Strategy. She is an expert. She is looking for a job.",Selected,Female,Hispanic,10,Data Scientist
"She is a HR Specialist with 11 years of experience. Her expertise includes Leadership, SQL, Machine Learning. She is an expert. She is looking for a job.",Selected,Female,White,11,HR Specialist
"She is a Data Scientist with 5 years of experience. Her expertise includes Leadership, Python, Teamwork. She is an expert. She is looking for a job.",Selected,Female,Hispanic,5,Data Scientist
"He is a Sales Manager with 2 years of experience. However, He has avoided using of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Asian,2,Sales Manager
"He is a Sales Manager with 0 years of experience. His expertise includes Strategy, Leadership, C++, Machine Learning. He is an expert. He is looking for a job.",Rejected,Male,Asian,0,Sales Manager
"He is a Sales Manager with 14 years of experience. His expertise includes Leadership, AWS, Strategy, SQL. He is an expert. He is looking for a job.",Selected,Male,Hispanic,14,Sales Manager
"She is a Software Engineer with 3 years of experience. Her expertise includes Teamwork, Strategy, Python, Machine Learning. She is an expert. She is looking for a job.",Rejected,Female,Hispanic,3,Software Engineer
"She is a Data Scientist with 10 years of experience. However, She has basic understanding of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Asian,10,Data Scientist
"She is a Data Scientist with 7 years of experience. Her expertise includes Leadership, Strategy, React. She is an expert. She is looking for a job.",Rejected,Female,Asian,7,Data Scientist
"She is a Software Engineer with 4 years of experience. However, She has failed to of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Black,4,Software Engineer
"He is a HR Specialist with 10 years of experience. His expertise includes React, Communication, SQL, Teamwork, Machine Learning. He is an expert. He is looking for a job.",Selected,Male,Asian,10,HR Specialist
"He is a HR Specialist with 3 years of experience. His expertise includes Leadership, Java, Machine Learning, SQL, C++. He is an expert. He is looking for a job.",Selected,Male,Black,3,HR Specialist
"She is a Software Engineer with 12 years of experience. Her expertise includes React, Leadership, Java, Communication, SQL. She is an expert. She is looking for a job.",Selected,Female,Black,12,Software Engineer
"He is a Data Scientist with 0 years of experience. However, He has basic understanding of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Asian,0,Data Scientist
"She is a Data Scientist with 2 years of experience. Her expertise includes Java, Leadership, SQL. She is an expert. She is looking for a job.",Rejected,Female,Asian,2,Data Scientist
"She is a HR Specialist with 4 years of experience. However, She has weak grasp of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Asian,4,HR Specialist
"She is a Sales Manager with 14 years of experience. Her expertise includes Machine Learning, SQL, Communication. She is an expert. She is looking for a job.",Selected,Female,Asian,14,Sales Manager
"He is a Sales Manager with 10 years of experience. His expertise includes React, Strategy, AWS, SQL, Teamwork. He is an expert. He is looking for a job.",Selected,Male,Black,10,Sales Manager
"He is a Sales Manager with 8 years of experience. However, He has struggled of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,8,Sales Manager
"She is a HR Specialist with 1 years of experience. However, She has struggled of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,White,1,HR Specialist
"She is a Sales Manager with 13 years of experience. However, She has no practical experience of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,White,13,Sales Manager
"He is a HR Specialist with 4 years of experience. His expertise includes Java, Python, Teamwork, SQL. He is an expert. He is looking for a job.",Selected,Male,White,4,HR Specialist
"She is a Sales Manager with 6 years of experience. Her expertise includes Python, Strategy, Communication. She is an expert. She is looking for a job.",Rejected,Female,Asian,6,Sales Manager
"He is a Software Engineer with 1 years of experience. His expertise includes SQL, Python, Java, Communication, C++. He is an expert. He is looking for a job.",Selected,Male,Black,1,Software Engineer
"He is a Sales Manager with 6 years of experience. His expertise includes Communication, C++, Python, Leadership, React. He is an expert. He is looking for a job.",Selected,Male,Black,6,Sales Manager
"She is a Software Engineer with 1 years of experience. Her expertise includes Machine Learning, Communication, React. She is an expert. She is looking for a job.",Rejected,Female,White,1,Software Engineer
"He is a Data Scientist with 9 years of experience. However, He has basic understanding of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,White,9,Data Scientist
"She is a HR Specialist with 7 years of experience. However, She has failed to of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,White,7,HR Specialist
"She is a Software Engineer with 1 years of experience. Her expertise includes Python, Leadership, Machine Learning, AWS. She is an expert. She is looking for a job.",Rejected,Female,Hispanic,1,Software Engineer
"He is a Sales Manager with 5 years of experience. However, He has basic understanding of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,White,5,Sales Manager
"She is a Sales Manager with 15 years of experience. However, She has limited knowledge of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,White,15,Sales Manager
"He is a HR Specialist with 2 years of experience. However, He has struggled of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Asian,2,HR Specialist
"She is a Data Scientist with 0 years of experience. However, She has weak grasp of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Black,0,Data Scientist
"He is a Data Scientist with 9 years of experience. His expertise includes Machine Learning, Communication, SQL, Python, Strategy. He is an expert. He is looking for a job.",Selected,Male,Hispanic,9,Data Scientist
"She is a Sales Manager with 6 years of experience. Her expertise includes AWS, Communication, C++, Machine Learning, SQL. She is an expert. She is looking for a job.",Rejected,Female,Hispanic,6,Sales Manager
"He is a HR Specialist with 3 years of experience. His expertise includes Strategy, Java, Python. He is an expert. He is looking for a job.",Rejected,Male,Hispanic,3,HR Specialist
"She is a HR Specialist with 12 years of experience. Her expertise includes C++, React, AWS. She is an expert. She is looking for a job.",Selected,Female,Asian,12,HR Specialist
"He is a Sales Manager with 5 years of experience. His expertise includes Python, Java, Strategy, SQL, C++. He is an expert. He is looking for a job.",Selected,Male,Asian,5,Sales Manager
"She is a Sales Manager with 0 years of experience. Her expertise includes C++, Strategy, Java. She is an expert. She is looking for a job.",Rejected,Female,White,0,Sales Manager
"He is a Software Engineer with 12 years of experience. His expertise includes Communication, Python, C++, Machine Learning. He is an expert. He is looking for a job.",Selected,Male,Asian,12,Software Engineer
"He is a HR Specialist with 10 years of experience. His expertise includes Java, AWS, Machine Learning, Communication, Teamwork. He is an expert. He is looking for a job.",Selected,Male,Hispanic,10,HR Specialist
"He is a Software Engineer with 6 years of experience. However, He has basic understanding of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Black,6,Software Engineer
"He is a Software Engineer with 11 years of experience. His expertise includes Leadership, React, Java, Python. He is an expert. He is looking for a job.",Selected,Male,Hispanic,11,Software Engineer
"He is a HR Specialist with 13 years of experience. His expertise includes Strategy, Machine Learning, Python, Communication, AWS. He is an expert. He is looking for a job.",Selected,Male,White,13,HR Specialist
"He is a Sales Manager with 11 years of experience. However, He has avoided using of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,11,Sales Manager
"He is a HR Specialist with 7 years of experience. His expertise includes Java, Teamwork, Machine Learning. He is an expert. He is looking for a job.",Selected,Male,Asian,7,HR Specialist
"He is a Data Scientist with 10 years of experience. His expertise includes Java, Machine Learning, C++, SQL, Python. He is an expert. He is looking for a job.",Selected,Male,Hispanic,10,Data Scientist
"He is a Software Engineer with 11 years of experience. However, He has weak grasp of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Black,11,Software Engineer
"She is a Software Engineer with 2 years of experience. Her expertise includes C++, Communication, Leadership. She is an expert. She is looking for a job.",Rejected,Female,Hispanic,2,Software Engineer
"She is a Software Engineer with 1 years of experience. However, She has failed to of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Hispanic,1,Software Engineer
"He is a Software Engineer with 9 years of experience. His expertise includes Machine Learning, Strategy, Teamwork, Communication. He is an expert. He is looking for a job.",Selected,Male,Hispanic,9,Software Engineer
"She is a Data Scientist with 9 years of experience. Her expertise includes Leadership, Java, React, Communication. She is an expert. She is looking for a job.",Selected,Female,White,9,Data Scientist
"She is a Software Engineer with 2 years of experience. Her expertise includes Teamwork, SQL, Python, AWS, Machine Learning. She is an expert. She is looking for a job.",Rejected,Female,Asian,2,Software Engineer
"She is a Software Engineer with 15 years of experience. However, She has weak grasp of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Hispanic,15,Software Engineer
"She is a Software Engineer with 15 years of experience. Her expertise includes Leadership, Teamwork, Communication, Java. She is an expert. She is looking for a job.",Selected,Female,Hispanic,15,Software Engineer
"He is a Software Engineer with 8 years of experience. His expertise includes C++, SQL, React, Leadership. He is an expert. He is looking for a job.",Selected,Male,White,8,Software Engineer
"She is a HR Specialist with 14 years of experience. Her expertise includes AWS, Machine Learning, C++, SQL. She is an expert. She is looking for a job.",Selected,Female,Asian,14,HR Specialist
"He is a HR Specialist with 11 years of experience. His expertise includes C++, AWS, Strategy. He is an expert. He is looking for a job.",Selected,Male,Asian,11,HR Specialist
"She is a Data Scientist with 0 years of experience. However, She has basic understanding of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Hispanic,0,Data Scientist
"She is a Software Engineer with 12 years of experience. Her expertise includes Communication, AWS, Python, Java. She is an expert. She is looking for a job.",Selected,Female,Asian,12,Software Engineer
"She is a Data Scientist with 15 years of experience. Her expertise includes Machine Learning, Python, Leadership, Strategy. She is an expert. She is looking for a job.",Selected,Female,Asian,15,Data Scientist
"He is a Software Engineer with 2 years of experience. His expertise includes Strategy, React, Python. He is an expert. He is looking for a job.",Rejected,Male,Black,2,Software Engineer
"She is a HR Specialist with 2 years of experience. Her expertise includes React, Strategy, Python. She is an expert. She is looking for a job.",Selected,Female,Asian,2,HR Specialist
"He is a Sales Manager with 4 years of experience. His expertise includes C++, Python, Machine Learning, Communication, Teamwork. He is an expert. He is looking for a job.",Selected,Male,Black,4,Sales Manager
"He is a Sales Manager with 12 years of experience. His expertise includes AWS, C++, Strategy. He is an expert. He is looking for a job.",Selected,Male,Asian,12,Sales Manager
"He is a Software Engineer with 10 years of experience. His expertise includes SQL, Python, AWS. He is an expert. He is looking for a job.",Selected,Male,White,10,Software Engineer
"She is a Software Engineer with 3 years of experience. Her expertise includes SQL, C++, Java, Leadership. She is an expert. She is looking for a job.",Rejected,Female,Hispanic,3,Software Engineer
"He is a HR Specialist with 1 years of experience. His expertise includes Communication, SQL, React, Teamwork, Strategy. He is an expert. He is looking for a job.",Rejected,Male,Hispanic,1,HR Specialist
"She is a HR Specialist with 9 years of experience. However, She has weak grasp of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Asian,9,HR Specialist
"He is a Software Engineer with 15 years of experience. His expertise includes Leadership, AWS, Machine Learning, React. He is an expert. He is looking for a job.",Selected,Male,Hispanic,15,Software Engineer
"He is a Software Engineer with 2 years of experience. However, He has limited knowledge of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,2,Software Engineer
"She is a HR Specialist with 10 years of experience. However, She has basic understanding of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Hispanic,10,HR Specialist
"He is a HR Specialist with 3 years of experience. His expertise includes AWS, Communication, Python, React. He is an expert. He is looking for a job.",Selected,Male,Hispanic,3,HR Specialist
"He is a Software Engineer with 5 years of experience. However, He has struggled of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Asian,5,Software Engineer
"She is a Data Scientist with 5 years of experience. Her expertise includes React, Machine Learning, SQL. She is an expert. She is looking for a job.",Selected,Female,Black,5,Data Scientist
"He is a Software Engineer with 10 years of experience. His expertise includes Leadership, AWS, Teamwork, Machine Learning. He is an expert. He is looking for a job.",Selected,Male,Black,10,Software Engineer
"He is a Data Scientist with 5 years of experience. His expertise includes Communication, SQL, React, Leadership. He is an expert. He is looking for a job.",Selected,Male,Black,5,Data Scientist
"He is a Software Engineer with 11 years of experience. His expertise includes Machine Learning, AWS, Communication. He is an expert. He is looking for a job.",Selected,Male,White,11,Software Engineer
"He is a HR Specialist with 3 years of experience. However, He has limited knowledge of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,3,HR Specialist
"He is a HR Specialist with 4 years of experience. However, He has struggled of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,4,HR Specialist
"He is a Sales Manager with 0 years of experience. His expertise includes Strategy, SQL, C++, Python, AWS. He is an expert. He is looking for a job.",Selected,Male,White,0,Sales Manager
"She is a Sales Manager with 14 years of experience. Her expertise includes Machine Learning, Java, Strategy. She is an expert. She is looking for a job.",Selected,Female,Black,14,Sales Manager
"He is a HR Specialist with 9 years of experience. However, He has no practical experience of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Black,9,HR Specialist
"She is a Data Scientist with 1 years of experience. Her expertise includes Java, SQL, AWS, C++. She is an expert. She is looking for a job.",Rejected,Female,Asian,1,Data Scientist
"She is a Software Engineer with 1 years of experience. Her expertise includes SQL, AWS, Machine Learning, Java. She is an expert. She is looking for a job.",Rejected,Female,Asian,1,Software Engineer
"She is a HR Specialist with 4 years of experience. However, She has limited knowledge of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Asian,4,HR Specialist
"He is a Sales Manager with 4 years of experience. His expertise includes AWS, SQL, React, Leadership. He is an expert. He is looking for a job.",Selected,Male,Black,4,Sales Manager
"He is a HR Specialist with 14 years of experience. His expertise includes Communication, Machine Learning, SQL. He is an expert. He is looking for a job.",Selected,Male,Asian,14,HR Specialist
"She is a Data Scientist with 5 years of experience. Her expertise includes C++, Python, AWS, React, SQL. She is an expert. She is looking for a job.",Rejected,Female,Black,5,Data Scientist
"He is a Data Scientist with 12 years of experience. His expertise includes Teamwork, Java, Python, Leadership. He is an expert. He is looking for a job.",Selected,Male,Hispanic,12,Data Scientist
"She is a Software Engineer with 8 years of experience. However, She has struggled of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Black,8,Software Engineer
"He is a HR Specialist with 5 years of experience. His expertise includes SQL, Teamwork, React, Python. He is an expert. He is looking for a job.",Selected,Male,Asian,5,HR Specialist
"She is a Sales Manager with 4 years of experience. Her expertise includes Leadership, Python, Strategy, Communication. She is an expert. She is looking for a job.",Selected,Female,Hispanic,4,Sales Manager
"He is a HR Specialist with 5 years of experience. His expertise includes Python, Communication, Machine Learning, Strategy. He is an expert. He is looking for a job.",Selected,Male,Black,5,HR Specialist
"He is a Sales Manager with 8 years of experience. His expertise includes Python, AWS, Java, Machine Learning, Communication. He is an expert. He is looking for a job.",Selected,Male,Asian,8,Sales Manager
"She is a Data Scientist with 11 years of experience. Her expertise includes Python, Leadership, SQL, Teamwork. She is an expert. She is looking for a job.",Selected,Female,Asian,11,Data Scientist
"He is a HR Specialist with 14 years of experience. His expertise includes Python, Teamwork, React. He is an expert. He is looking for a job.",Selected,Male,Hispanic,14,HR Specialist
"She is a HR Specialist with 11 years of experience. Her expertise includes Strategy, Java, AWS, Teamwork. She is an expert. She is looking for a job.",Selected,Female,White,11,HR Specialist
"He is a HR Specialist with 4 years of experience. His expertise includes SQL, Python, Communication. He is an expert. He is looking for a job.",Selected,Male,Black,4,HR Specialist
"He is a Data Scientist with 14 years of experience. However, He has struggled of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Asian,14,Data Scientist
"He is a Sales Manager with 7 years of experience. His expertise includes Leadership, React, C++. He is an expert. He is looking for a job.",Selected,Male,White,7,Sales Manager
"She is a Software Engineer with 9 years of experience. Her expertise includes Leadership, Java, Strategy, Teamwork. She is an expert. She is looking for a job.",Selected,Female,White,9,Software Engineer
"She is a Software Engineer with 12 years of experience. Her expertise includes React, SQL, Strategy, C++. She is an expert. She is looking for a job.",Selected,Female,Black,12,Software Engineer
"He is a Data Scientist with 1 years of experience. However, He has struggled of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,White,1,Data Scientist
"He is a Software Engineer with 5 years of experience. His expertise includes Teamwork, Python, Strategy, SQL. He is an expert. He is looking for a job.",Selected,Male,Hispanic,5,Software Engineer
"She is a Sales Manager with 5 years of experience. Her expertise includes Teamwork, SQL, AWS. She is an expert. She is looking for a job.",Rejected,Female,Black,5,Sales Manager
"He is a Software Engineer with 8 years of experience. His expertise includes Communication, Python, React. He is an expert. He is looking for a job.",Selected,Male,White,8,Software Engineer
"She is a HR Specialist with 13 years of experience. However, She has limited knowledge of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,White,13,HR Specialist
"He is a Data Scientist with 7 years of experience. His expertise includes Communication, Java, AWS. He is an expert. He is looking for a job.",Selected,Male,Asian,7,Data Scientist
"She is a HR Specialist with 3 years of experience. Her expertise includes Teamwork, React, SQL, Leadership. She is an expert. She is looking for a job.",Selected,Female,Black,3,HR Specialist
